q1,q14,q15,location,location_latitude,location_longitude,location_altitude,location_precision,final_age,age_category_child
1,0,0, , , , , ,24,2
1,0,0,0.344587763663669 34.543081040264425 1354.0 30.0,0.344587764,34.54308104,1354,30,24,2
1,0,0, , , , , ,24,2
1,1,1, , , , , ,24,2
2,0,1,0.1984689 34.353222 0.0 4922.0,0.1984689,34.353222,0,4922,24,2
2,1,1,0.2053666 34.4865443 0.0 3734.0,0.2053666,34.4865443,0,3734,24,2
2,0,1,0.27244412305592985 34.453196103423686 1355.0 100.0,0.272444123,34.4531961,1355,100,24,2
2,0,1, , , , , ,24,2
1,1,0, , , , , ,24,2
2,0,1,-4.147879747709267 39.45137775323114 354.0 5.0,-4.147879748,39.45137775,354,5,24,2
1,0,0,-4.185125173695957 39.50407512338786 154.0 5.0,-4.185125174,39.50407512,154,5,24,2
1,0,1,-4.164198238205909 39.57916066993248 80.0 5.0,-4.164198238,39.57916067,80,5,24,2
2,0,0,-4.186210840062634 39.55908514331754 140.0 10.0,-4.18621084,39.55908514,140,10,24,2
2,0,1,-4.13632663619894 39.55485892742112 70.0 10.0,-4.136326636,39.55485893,70,10,24,2
2,0,1,-4.123861921564086 39.55694352132768 34.0 5.0,-4.123861922,39.55694352,34,5,24,2
2,0,0,-4.3216261144657855 39.24665327837878 170.0 5.0,-4.321626114,39.24665328,170,5,24,2
1,0,1,-4.339950223143531 39.25411822607626 184.0 5.0,-4.339950223,39.25411823,184,5,24,2
1,0,0,0.2206929 34.6078199 0.0 2592.0,0.2206929,34.6078199,0,2592,24,2
1,0,1,0.28798627742526967 34.55270060869734 1311.0 15.0,0.287986277,34.55270061,1311,15,24,2
1,0,0,0.2184102 34.5933026 0.0 4015.0,0.2184102,34.5933026,0,4015,24,2
2,0,1,0.345961 34.64918 0.0 3843.0,0.345961,34.64918,0,3843,24,2
2,0,0,0.38026214713650835 34.56906714994153 1314.0 35.0,0.380262147,34.56906715,1314,35,24,2
2,0,1,0.3741813387422244 34.57391374951725 1293.0 35.0,0.374181339,34.57391375,1293,35,24,2
2,0,1, , , , , ,24,2
1,0,1,0.33196346534729465 34.54251572756392 1371.0 10.0,0.331963465,34.54251573,1371,10,25,2
